"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","695","should get error with invalid credentils ","","Thu Feb 20 19:51:52 GMT 2025","passed","Thu Feb 20 19:51:53 GMT 2025","","Login Tests","",""
"","1992","should create new contact","","Thu Feb 20 19:52:01 GMT 2025","passed","Thu Feb 20 19:52:03 GMT 2025","","Contact Tests","",""
"","194","should delete existing contact","","Thu Feb 20 19:52:06 GMT 2025","passed","Thu Feb 20 19:52:07 GMT 2025","","Contact Tests","",""
"","1765","should register new user","","Thu Feb 20 19:51:54 GMT 2025","passed","Thu Feb 20 19:51:55 GMT 2025","","Login Tests","",""
"","819","should login with valid credentials","","Thu Feb 20 19:51:53 GMT 2025","passed","Thu Feb 20 19:51:54 GMT 2025","","Login Tests","",""
"","3224","should edit existing contact","","Thu Feb 20 19:52:03 GMT 2025","passed","Thu Feb 20 19:52:06 GMT 2025","","Contact Tests","",""
"","1157","should get error for registering new user with existing email","","Thu Feb 20 19:51:55 GMT 2025","passed","Thu Feb 20 19:51:57 GMT 2025","","Login Tests","",""
