"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","809","should login with valid credentials","","Thu Feb 20 19:35:42 GMT 2025","passed","Thu Feb 20 19:35:43 GMT 2025","","Login Tests","",""
"","1423","should register new user","","Thu Feb 20 19:35:43 GMT 2025","passed","Thu Feb 20 19:35:44 GMT 2025","","Login Tests","",""
"","1141","should get error for registering new user with existing email","","Thu Feb 20 19:35:44 GMT 2025","passed","Thu Feb 20 19:35:45 GMT 2025","","Login Tests","",""
"","1203","should get error with invalid credentils ","","Thu Feb 20 19:35:41 GMT 2025","passed","Thu Feb 20 19:35:42 GMT 2025","","Login Tests","",""
"","2112","should create new contact","","Thu Feb 20 19:35:50 GMT 2025","passed","Thu Feb 20 19:35:52 GMT 2025","","Contact Tests","",""
"","360","should delete existing contact","","Thu Feb 20 19:35:55 GMT 2025","passed","Thu Feb 20 19:35:55 GMT 2025","","Contact Tests","",""
"","3230","should edit existing contact","","Thu Feb 20 19:35:52 GMT 2025","passed","Thu Feb 20 19:35:55 GMT 2025","","Contact Tests","",""
