"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2019","should create new contact","","Thu Feb 20 19:32:00 GMT 2025","passed","Thu Feb 20 19:32:02 GMT 2025","","Contact Tests","",""
"","1068","should register new user","","Thu Feb 20 19:31:53 GMT 2025","passed","Thu Feb 20 19:31:54 GMT 2025","","Login Tests","",""
"","885","should login with valid credentials","","Thu Feb 20 19:31:52 GMT 2025","passed","Thu Feb 20 19:31:53 GMT 2025","","Login Tests","",""
"","3726","should edit existing contact","","Thu Feb 20 19:32:02 GMT 2025","passed","Thu Feb 20 19:32:06 GMT 2025","","Contact Tests","",""
"","1130","should get error with invalid credentils ","","Thu Feb 20 19:31:51 GMT 2025","passed","Thu Feb 20 19:31:52 GMT 2025","","Login Tests","",""
"","496","should delete existing contact","","Thu Feb 20 19:32:06 GMT 2025","passed","Thu Feb 20 19:32:06 GMT 2025","","Contact Tests","",""
"","1144","should get error for registering new user with existing email","","Thu Feb 20 19:31:54 GMT 2025","passed","Thu Feb 20 19:31:55 GMT 2025","","Login Tests","",""
