"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","874","should get error with invalid credentils ","","Thu Feb 20 19:53:44 GMT 2025","passed","Thu Feb 20 19:53:45 GMT 2025","","Login Tests","",""
"","1996","should register new user","","Thu Feb 20 19:53:46 GMT 2025","passed","Thu Feb 20 19:53:48 GMT 2025","","Login Tests","",""
"","4035","should edit existing contact","","Thu Feb 20 19:53:57 GMT 2025","passed","Thu Feb 20 19:54:02 GMT 2025","","Contact Tests","",""
"","931","should login with valid credentials","","Thu Feb 20 19:53:45 GMT 2025","passed","Thu Feb 20 19:53:46 GMT 2025","","Login Tests","",""
"","1729","should get error for registering new user with existing email","","Thu Feb 20 19:53:48 GMT 2025","passed","Thu Feb 20 19:53:50 GMT 2025","","Login Tests","",""
"","2130","should create new contact","","Thu Feb 20 19:53:55 GMT 2025","passed","Thu Feb 20 19:53:57 GMT 2025","","Contact Tests","",""
"","358","should delete existing contact","","Thu Feb 20 19:54:02 GMT 2025","passed","Thu Feb 20 19:54:02 GMT 2025","","Contact Tests","",""
